archivo,columna,tipo,unidad,rango_admisible,codificacion_valores_perdidos,procedencia,descripcion
datos_procesados/etiquetas_expertos.csv,rf_id,cadena,adimensional,"RF-01 a RF-27",no se admiten,"Transcripcion de las plantillas de datos_crudos/","Identificador del requisito funcional evaluado. Clave primaria del archivo."
datos_procesados/etiquetas_expertos.csv,experto_1,entero,adimensional,{0;1},"no se admiten; una casilla en blanco invalida la hoja completa","Plantilla_Experto_1_ANONIMIZADA.md","1 si la persona experta 1 marco el RF como ambiguo; 0 en caso contrario."
datos_procesados/etiquetas_expertos.csv,experto_2,entero,adimensional,{0;1},"no se admiten; una casilla en blanco invalida la hoja completa","Plantilla_Experto_2_ANONIMIZADA.md","1 si la persona experta 2 marco el RF como ambiguo; 0 en caso contrario."
datos_procesados/etiquetas_expertos.csv,experto_3,entero,adimensional,{0;1},"no se admiten; una casilla en blanco invalida la hoja completa","Plantilla_Experto_3_ANONIMIZADA.md","1 si la persona experta 3 marco el RF como ambiguo; 0 en caso contrario."
scripts/rf27.json,id,cadena,adimensional,"RF-01 a RF-27",no se admiten,"extraer_rf_desde_tex.py sobre 01_ERS/ERS_SRS_2B_v2.0.tex","Identificador del requisito. Argumento 1 de la macro \rfitem."
scripts/rf27.json,nombre,cadena,adimensional,texto libre,no se admiten,"idem","Nombre corto del requisito. Argumento 2 de la macro \rfitem."
scripts/rf27.json,descripcion,cadena,adimensional,texto libre,no se admiten,"idem","Enunciado completo del requisito, tal como aparece en el ERS v2.0. Argumento 3 de \rfitem. Es el unico campo que ve el detector: sin ID, nombre, fuente ni prioridad."
scripts/clasificaciones_detector.csv,id_rf,cadena,adimensional,"RF-01 a RF-27",no se admiten,"detector_ambiguedad.py","Identificador del requisito clasificado."
scripts/clasificaciones_detector.csv,ambiguo_detector,entero,adimensional,{0;1},no se admiten,"detector_ambiguedad.py","1 si el requisito activa al menos una de las tres categorias de patron; 0 si no activa ninguna."
scripts/clasificaciones_detector.csv,categorias_activadas,cadena,adimensional,"cuantificador_vago | conjuncion_multiple | voz_pasiva | ninguna","el literal 'ninguna' indica ausencia, no dato perdido","detector_ambiguedad.py","Categorias activadas, separadas por punto y coma."
scripts/clasificaciones_detector.csv,evidencia_cuantificador_vago,cadena,adimensional,texto libre,"cadena vacia indica ausencia de coincidencia","detector_ambiguedad.py","Patrones de cuantificador vago que coincidieron, separados por punto y coma."
scripts/clasificaciones_detector.csv,evidencia_conjuncion_multiple,cadena,adimensional,"y=N,o=N,debera=N","cadena vacia indica que la categoria no se activo","detector_ambiguedad.py","Recuento de conectores y de verbos modales que motivo la activacion."
scripts/clasificaciones_detector.csv,evidencia_voz_pasiva,cadena,adimensional,texto libre,"cadena vacia indica ausencia de coincidencia","detector_ambiguedad.py","Fragmentos en voz pasiva sin agente explicito detectados."
resultados/dataset_consolidado.csv,rf_id,cadena,adimensional,"RF-01 a RF-27",no se admiten,"01_importar_datos.py","Clave de union entre etiquetas expertas y salida del detector."
resultados/dataset_consolidado.csv,experto_1,entero,adimensional,{0;1},no se admiten,"etiquetas_expertos.csv","Etiqueta de la persona experta 1."
resultados/dataset_consolidado.csv,experto_2,entero,adimensional,{0;1},no se admiten,"etiquetas_expertos.csv","Etiqueta de la persona experta 2."
resultados/dataset_consolidado.csv,experto_3,entero,adimensional,{0;1},no se admiten,"etiquetas_expertos.csv","Etiqueta de la persona experta 3."
resultados/dataset_consolidado.csv,ambiguo_detector,entero,adimensional,{0;1},no se admiten,"clasificaciones_detector.csv","Clasificacion binaria del detector."
resultados/dataset_consolidado.csv,categorias_activadas,cadena,adimensional,"ver clasificaciones_detector.csv","el literal 'ninguna' indica ausencia","clasificaciones_detector.csv","Categorias activadas, arrastradas sin transformacion."
resultados/kappa_resultados.json,cohen_pares,decimal,adimensional,"[-1,00 ; 1,00]",no se admiten,"02_calcular_kappa.py","Kappa de Cohen para cada uno de los tres pares de personas expertas."
resultados/kappa_resultados.json,fleiss_consenso,decimal,adimensional,"[-1,00 ; 1,00]",no se admiten,"02_calcular_kappa.py","Kappa de Fleiss para el acuerdo simultaneo de las tres personas expertas."
resultados/matriz_confusion_prf1.json,verdaderos_positivos,entero,requisitos,"[0 ; 27]",no se admiten,"03_matriz_confusion_prf1.py","RF marcados por el detector Y por el consenso experto (>=2 de 3)."
resultados/matriz_confusion_prf1.json,falsos_positivos,entero,requisitos,"[0 ; 27]",no se admiten,"03_matriz_confusion_prf1.py","RF marcados por el detector pero no por el consenso experto."
resultados/matriz_confusion_prf1.json,falsos_negativos,entero,requisitos,"[0 ; 27]",no se admiten,"03_matriz_confusion_prf1.py","RF marcados por el consenso experto pero no por el detector."
resultados/matriz_confusion_prf1.json,verdaderos_negativos,entero,requisitos,"[0 ; 27]",no se admiten,"03_matriz_confusion_prf1.py","RF no marcados ni por el detector ni por el consenso experto."
resultados/matriz_confusion_prf1.json,precision,decimal,adimensional,"[0,00 ; 1,00]","INDEFINIDA cuando VP+FP=0; el script emite 0,0 por convencion","03_matriz_confusion_prf1.py","VP/(VP+FP). ATENCION: en esta ejecucion VP=0 y FP=0, luego el valor 0,0 NO es una estimacion de rendimiento."
resultados/matriz_confusion_prf1.json,recall,decimal,adimensional,"[0,00 ; 1,00]","INDEFINIDA cuando VP+FN=0","03_matriz_confusion_prf1.py","VP/(VP+FN). Exhaustividad del detector frente al consenso experto."
resultados/matriz_confusion_prf1.json,f1,decimal,adimensional,"[0,00 ; 1,00]","INDEFINIDA cuando precision y recall son ambos 0","03_matriz_confusion_prf1.py","Media armonica de precision y exhaustividad."
resultados/bootstrap_ic95.json,punto_estimado,decimal,adimensional,"[0,00 ; 1,00]",no se admiten,"04_bootstrap_ic95.py","Estimacion puntual de la metrica sobre la muestra observada."
