ID,Ley-Art.,Objetivo,Interesado,EV,RF/RNF,CU,HU,CA,Componente,Mockup
1,,Trazabilidad de origen,Propietaria,EV-01,RF-01,CU-01,HU-01,CA-01,Backend-Proveedores,MU-02
2,Art.30,Certificación sanitaria,Propietaria,EV-02,RF-02,CU-02,HU-02,CA-02,Backend-Guias,MU-02
3,,Registro de ingreso,Bodega,EV-03,RF-03,CU-03,HU-03,CA-03,Backend-Ingresos,MU-02
4,,Cálculo de costo,Bodega,EV-04,RF-04,CU-04,HU-04,CA-04,Backend-Pesaje,MU-03
5,,Comprobante físico,Bodega,EV-05,RF-05,CU-05,HU-05,CA-05,Backend-Pesaje,MU-03
6,,Registro de cortes,Carniceros,EV-06,RF-06,CU-06,HU-06,CA-06,Backend-Despiece,MU-04
7,,Control por cámara,Admin. gral.,EV-07,RF-07,CU-07,HU-07,CA-07,Backend-Inventario,MU-04
8,,Evitar pérdidas,Admin. gral.,EV-08,RF-08,CU-08,HU-08,CA-08,Backend-VidaUtil,MU-04
9,Art.38,Sustentar bajas,Admin. gral.,EV-09,RF-09,CU-09,HU-09,CA-09,Backend-Bajas,MU-03
10,,Registrar ventas,Bodega/Cliente,EV-10,RF-10,CU-10,HU-10,CA-10,Backend-Ventas,MU-06
11,,Historial completo,Agrocalidad/Prop.,EV-11,RF-11,CU-11,HU-11,CA-11,Backend-Trazabilidad,MU-06
12,,Diferencias de inventario,Admin. gral.,EV-09,RF-12,CU-12,HU-12,CA-12,Backend-Inventario,MU-05
13,,Decisiones gerenciales,Propietaria,EV-08,RF-13,CU-12,HU-13,CA-13,Backend-Reportes,MU-05
14,,Desempeño del negocio,Propietaria,EV-08,RF-14,CU-12,HU-13,CA-13,Backend-Reportes,MU-05
15,"Art.7,9",Delegar por rol,Propietaria,EV-01,RF-15,CU-01,HU-15,CA-01,Backend-Usuarios,MU-01
16,,Stock por fecha,Bodega,EV-09,RF-16,CU-06,HU-16,CA-06,Backend-Inventario,MU-04
17,,Georreferencia,Admin. gral.,EV-10,RF-17,CU-17,HU-17,CA-17,Backend-Proveedores,MU-14
18,,Historial de precios,Propietaria,EV-11,RF-18,,HU-18,,Backend-Precios,MU-14
19,,Configurar preventas,Propietaria,EV-11,RF-19,CU-19,HU-19,CA-19,Backend-Precios,MU-14
20,,Registrar apagones,Bodega,EV-12,RF-20,CU-20,HU-20,CA-20,Backend-Incidentes,MU-14
21,,Continuidad operativa,Bodega,EV-13,RF-21,CU-01/CU-21,HU-21,CA-21,Backend-Cliente-Offline,MU-14
22,,Devoluciones,Bodega,EV-14,RF-22,CU-09,,,Backend-Ventas,MU-16
23,Art.30,Auditoría Agrocalidad,Admin. gral.,EV-23,RF-23,CU-08,,CA-23,Backend-Trazabilidad,MU-16
24,,Búsqueda de producto,Bodega,EV-24,RF-24,,,,Backend-Inventario,MU-16
25,Art.30,QR de trazabilidad,Cliente,EV-25,RF-25,,,,Backend-Trazabilidad,MU-16
26,,Rendimiento del pesaje,Bodega,EV-04,RF-03,,,,Backend-Infraestructura,
27,,Disponibilidad del servicio,Todos,EV-20,RNF-02,,,,Backend-Infraestructura,
28,Art.30,Autenticación segura,Admin. gral.,EV-01,RNF-01,,,,Backend-Usuarios,
29,,Usabilidad de bodega,Bodega,EV-09,RNF-04,,,,Backend-Cliente-Web/Móvil,
30,,Arquitectura mantenible,Equipo técnico,,RNF-05,,,,Backend (todos),
31,,Acceso multinavegador,Todos,,RNF-06,,,,Backend-Cliente-Web,
32,Art.38,Auditoría de bajas,Admin. gral.,EV-07,RNF-10,,,,Backend-Bajas,
33,,Cobertura RF Must en MVP,Docente/Equipo,EV-16,RNF-09,,,,Backend-MVP,
34,,Integración con báscula,Bodega,EV-04,RNF-03,,,,Backend-Pesaje,
35,,Nuevos tipos de producto,Propietaria,EV-11,RNF-10,,,,Backend-Precios,
36,,Reportes con alto volumen,Bodega,EV-08,RNF-11,,,,Backend-Reportes,
37,Art.30,Cifrado de datos personales,Todos,,RNF-12,,,,Backend-BD,
38,,Accesibilidad táctil,Bodega,EV-09,RNF-13,CU-13,HU-21,CA-21,Backend-Cliente-Offline,
39,,Recuperabilidad offline,Bodega,EV-13,RNF-14,CU-01/CU-21,,,Backend-Móvil,
40,,Calidad del código MVP,Docente/Equipo,EV-16,RNF-15,,,,Backend-MVP,
